DAY,MEAL,MENU,STUDENTS PRESENT ,WEATHER,SPECIAL EVENT,EXAM,FOOD PREPARED(KG),FOOD WASTED(kg)
MONDAY,BREAKFAST,IDLI,482,SUNNY,NO,NO,265,16
MONDAY,LUNCH,SAMBAR RICE,510,SUNNY,NO,NO,281,17
MONDAY,DINNER,CHAPATI,475,CLOUDY,NO,NO,261,16
TUESDAY,BREAKFAST,DOSA,489,SUNNY,NO,NO,269,16
TUESDAY,LUNCH,LEMON RICE,503,SUNNY,NO,NO,277,17
TUESDAY,DINNER,NOODLES,471,RAINY,YES,NO,274,19
WEDNESDAY,BREAKFAST,PONGAL,465,RAINY,NO,NO,256,23
WEDNESDAY,LUNCH,TOMATO RICE,495,CLOUDY,NO,NO,272,16
WEDNESDAY,DINNER,PAROTTA,462,RAINY,NO,YES,254,16
THURSDAY,BREAKFAST,UPMA,486,SUNNY,NO,NO,267,21
THURSDAY,LUNCH,BIRIYANI,512,SUNNY,NO,NO,282,12
THURSDAY,DINNER,DOSA,478,CLOUDY,NO,YES,263,21
FRIDAY,BREAKFAST,POORI,491,SUNNY,NO,NO,270,16
FRIDAY,LUNCH,COCONUT RICE,507,SUNNY,YES,NO,294,17
FRIDAY,DINNER,IDIYAPPAM,473,RAINY,NO,YES,260,24
SATURDAY,BREAKFAST,RAVA DOSA ,484,CLOUDY,NO,NO,266,17
SATURDAY,LUNCH,TAMARIND RICE,500,SUNNY,NO,NO,275,15
SATURDAY,DINNER,CHAPATI,469,RAINY,NO,NO,258,20
SUNDAY,BREAKFAST,KICHADI,488,SUNNY,NO,NO,268,22
SUNDAY,LUNCH,FRIED RICE,515,SUNNY,YES,NO,298,17
SUNDAY,DINNER,RICE,481,CLOUDY,NO,NO,265,18
MONDAY,BREAKFAST,IDLI,490,SUNNY,NO,NO,270,16
MONDAY,LUNCH,CURD RICE,506,SUNNY,NO,NO,278,16
MONDAY,DINNER,VEG RICE,474,RAINY,NO,YES,261,23
TUESDAY,BREAKFAST,PONGAL,483,CLOUDY,NO,NO,266,16
TUESDAY,LUNCH,MIXED RICE,509,SUNNY,NO,NO,280,17
TUESDAY,DINNER,CHAPATI,470,RAINY,NO,YES,259,22
WEDNESDAY,BREAKFAST,DOSA,487,SUNNY,YES,NO,283,18
WEDNESDAY,LUNCH,DAL  RICE,513,SUNNY,NO,NO,282,15
WEDNESDAY,DINNER,RICE,479,CLOUDY,NO,YES,263,21
THURSDAY,BREAKFAST,UPMA,492,SUNNY,NO,NO,271,23
THURSDAY,LUNCH,SAMBAR RICE,508,SUNNY,NO,NO,279,17
THURSDAY,DINNER,PAROTTA,476,RAINY,NO,NO,262,11
FRIDAY,BREAKFAST,POORI,485,CLOUDY,NO,NO,267,19
FRIDAY,LUNCH,LEMON RICE,511,SUNNY,YES,NO,296,18
FRIDAY,DINNER,NOODLES,472,RAINY,NO,NO,260,23
SATURDAY,BREAKFAST,UPMA,489,SUNNY,NO,NO,269,21
SATURDAY,LUNCH,TOMATO RICE,505,SUNNY,NO,NO,278,17
SATURDAY,DINNER,CHAPATI,468,RAINY,NO,YES,257,23
SUNDAY,BREAKFAST,IDLI,486,CLOUDY,NO,NO,267,18
SUNDAY,LUNCH,BIRIYANI,514,SUNNY,NO,NO,283,10
SUNDAY,DINNER,DOSA,480,CLOUDY,YES,YES,279,22
MONDAY,BREAKFAST,PONGAL,493,SUNNY,NO,NO,271,16
MONDAY,LUNCH,COCONUT RICE,507,SUNNY,NO,NO,279,17
MONDAY,DINNER,RICE,475,RAINY,NO,YES,261,24
TUESDAY,BREAKFAST,DOSA,484,CLOUDY,NO,NO,266,18
TUESDAY,LUNCH,FRIED RICE,510,SUNNY,NO,NO,281,17
TUESDAY,DINNER,IDIYAPPAM,471,RAINY,NO,NO,259,23
WEDNESDAY,BREAKFAST,UPMA,488,SUNNY,YES,NO,283,23
WEDNESDAY,LUNCH,TAMARIND RICE,516,SUNNY,NO,NO,284,14
WEDNESDAY,DINNER,CHAPATI,482,CLOUDY,NO,NO,265,19
THURSDAY,BREAKFAST,POORI,491,SUNNY,NO,NO,270,16
THURSDAY,LUNCH,MIXED RICE,504,SUNNY,NO,NO,277,17
THURSDAY,DINNER,VEG RICE,469,RAINY,NO,YES,258,21
FRIDAY,BREAKFAST,IDLI,487,CLOUDY,NO,NO,268,18
FRIDAY,LUNCH,DAL  RICE,512,SUNNY,YES,NO,297,17
FRIDAY,DINNER,RICE,478,RAINY,NO,YES,263,23
SATURDAY,BREAKFAST,PONGAL,490,SUNNY,NO,NO,270,16
SATURDAY,LUNCH,LEMON RICE,509,SUNNY,NO,NO,280,17
SATURDAY,DINNER,CHAPATI,473,RAINY,NO,NO,260,20
SUNDAY,BREAKFAST,DOSA,485,CLOUDY,NO,NO,267,18
SUNDAY,LUNCH,BIRIYANI,511,SUNNY,NO,NO,281,13
SUNDAY,DINNER,PAROTTA,477,RAINY,YES,NO,277,14
